playout_delay_ms = 87,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 87,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 78,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 78,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 79,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 80,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 80,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 80,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 81,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 81,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 82,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 82,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 83,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 83,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 84,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 84,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 85,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 85,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 85,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 89,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 89,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 91,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 91,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 94,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 94,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 94,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 94,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 94,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 94,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 96,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 96,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 96,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 96,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 97,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 97,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 97,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 97,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 90,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 83,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 83,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 82,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 82,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 88,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 88,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 84,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 84,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 84,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 84,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 84,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 85,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 85,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 85,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 85,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 85,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 98,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 98,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 105, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 105, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 98,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 98,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 98,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 98,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 104, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 104, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 98,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 98,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 104, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 104, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 104, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 104, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 104, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 104, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 105, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 105, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 100, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 100, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 108, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 108, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 108, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 108, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 108, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 109, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 109, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 110, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 110, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 110, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 110, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 110, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 110, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 117, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 117, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 118, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 118, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 112, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 112, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 112, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 112, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 115, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 115, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 117, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 117, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 117, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 117, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 112, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 112, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 113, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 113, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 114, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 114, highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 114, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 115, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 115, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 115, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 104, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 104, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 104, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 100, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 101, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 105, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 105, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 105, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 105, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 107, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 107, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 109, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 109, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 104, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 104, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
